X,Y,Z,Color,Size,Label,Activation,Network,Lobe
28,-77,-33,1,8.01,Cerebelum_Crus1_R,0.601,Sensorimotor,Cerebellum
-28,-77,-33,1,6.38,Cerebelum_Crus1_L,0.438,Sensorimotor,Cerebellum
31,-87,11,1,7.28,Occipital_Mid_R,0.528,Visual,Occipital
20,-93,15,1,7.28,Occipital_Sup_R,0.528,Visual,Occipital
-31,-87,11,1,5.85,Occipital_Mid_L,0.385,Visual,Occipital
-24,-7,-21,1,3.2,ParaHippocampal_L,0.12,Limbic,Temporal
25,-1,-20,1,2.8,Amygdala_R,0.08,Limbic,Temporal
-15,26,56,2,7.12,Frontal_Sup_L,-0.512,Executive,Frontal
-30,47,28,2,6.98,Frontal_Mid_L,-0.498,Executive,Frontal
-39,-6,52,2,6.33,Precentral_L,-0.433,Motor,Frontal
-43,-25,49,2,6.31,Postcentral_L,-0.431,Somatosensory,Parietal
-50,0,9,2,6.01,Rolandic_Oper_L,-0.401,Sensorimotor,Frontal
15,26,56,2,5.94,Frontal_Sup_R,-0.394,Executive,Frontal
26,6,0,2,5.86,Putamen_R,-0.386,Subcortical,Subcortical
