ROI,BrainRegion,Importance,Rank
0,Precentral_L,5.4491787,1
1,Precentral_R,4.4049067,2
2,Frontal_Sup_L,3.6224332,3
3,Frontal_Sup_R,3.1853137,4
4,Frontal_Sup_Orb_L,3.08324,5
5,Frontal_Sup_Orb_R,2.370637,6
6,Frontal_Mid_L,2.3374147,7
7,Frontal_Mid_R,2.1957474,8
8,Frontal_Mid_Orb_L,2.1529014,9
9,Frontal_Mid_Orb_R,1.9422426,10
10,Frontal_Inf_Oper_L,0.117780015,11
11,Frontal_Inf_Oper_R,0.014946176,12
12,Frontal_Inf_Tri_L,0.002221277,13
13,Frontal_Inf_Tri_R,-0.0089159105,14
14,Frontal_Inf_Orb_L,-0.021146215,15
15,Frontal_Inf_Orb_R,-0.03196791,16
16,Rolandic_Oper_L,-0.042084437,17
17,Rolandic_Oper_R,-0.051418945,18
18,Supp_Motor_Area_L,-0.060847674,19
19,Supp_Motor_Area_R,-0.0690766,20
20,Olfactory_L,-0.07701281,21
21,Olfactory_R,-0.084317856,22
22,Frontal_Sup_Medial_L,-0.09119538,23
23,Frontal_Sup_Medial_R,-0.09815585,24
24,Frontal_Med_Orb_L,-0.105492264,25
25,Frontal_Med_Orb_R,-0.11256924,26
26,Rectus_L,-0.11891733,27
27,Rectus_R,-0.12462664,28
28,Insula_L,-0.13054973,29
29,Insula_R,-0.13454624,30
30,Cingulum_Ant_L,-0.14041314,31
31,Cingulum_Ant_R,-0.14569302,32
32,Cingulum_Mid_L,-0.15167451,33
33,Cingulum_Mid_R,-0.15660438,34
34,Cingulum_Post_L,-0.16256137,35
35,Cingulum_Post_R,-0.167904,36
36,Hippocampus_L,-0.17289829,37
37,Hippocampus_R,-0.17880102,38
38,ParaHippocampal_L,-0.18359643,39
39,ParaHippocampal_R,-0.18842241,40
40,Amygdala_L,-0.1936864,41
41,Amygdala_R,-0.19823861,42
42,Calcarine_L,-0.20286334,43
43,Calcarine_R,-0.2073052,44
44,Cuneus_L,-0.21155822,45
45,Cuneus_R,-0.21570903,46
46,Lingual_L,-0.22006357,47
47,Lingual_R,-0.22487232,48
48,Occipital_Sup_L,-0.22922237,49
49,Occipital_Sup_R,-0.23429082,50
50,Occipital_Mid_L,-0.23919412,51
51,Occipital_Mid_R,-0.24291718,52
52,Occipital_Inf_L,-0.24739486,53
53,Occipital_Inf_R,-0.25175366,54
54,Fusiform_L,-0.2551924,55
55,Fusiform_R,-0.2598107,56
56,Postcentral_L,-0.26326123,57
57,Postcentral_R,-0.26689675,58
58,Parietal_Sup_L,-0.27075177,59
59,Parietal_Sup_R,-0.27436984,60
60,Parietal_Inf_L,-0.27839118,61
61,Parietal_Inf_R,-0.2818797,62
62,SupraMarginal_L,-0.28619233,63
63,SupraMarginal_R,-0.28974247,64
64,Angular_L,-0.2934311,65
65,Angular_R,-0.29725617,66
66,Precuneus_L,-0.3006601,67
67,Precuneus_R,-0.30441982,68
68,Paracentral_Lobule_L,-0.3082947,69
69,Paracentral_Lobule_R,-0.31183812,70
70,Caudate_L,-0.31592643,71
71,Caudate_R,-0.31935567,72
72,Putamen_L,-0.32260853,73
73,Putamen_R,-0.3261366,74
74,Pallidum_L,-0.33057877,75
75,Pallidum_R,-0.3338012,76
76,Thalamus_L,-0.33656734,77
77,Thalamus_R,-0.33992404,78
78,Heschl_L,-0.34317693,79
79,Heschl_R,-0.3458985,80
80,Temporal_Sup_L,-0.34928414,81
81,Temporal_Sup_R,-0.35280845,82
82,Temporal_Pole_Sup_L,-0.35565752,83
83,Temporal_Pole_Sup_R,-0.359032,84
84,Temporal_Mid_L,-0.3617436,85
85,Temporal_Mid_R,-0.36488557,86
86,Temporal_Pole_Mid_L,-0.36773384,87
87,Temporal_Pole_Mid_R,-0.3710883,88
88,Temporal_Inf_L,-0.37450698,89
89,Temporal_Inf_R,-0.3781585,90
90,Cerebelum_Crus1_L,-0.38155085,91
91,Cerebelum_Crus1_R,-0.38522035,92
92,Cerebelum_Crus2_L,-0.3887753,93
93,Cerebelum_Crus2_R,-0.39190668,94
94,Cerebelum_3_L,-0.39519477,95
95,Cerebelum_3_R,-0.3982875,96
96,Cerebelum_4_5_L,-0.4016646,97
97,Cerebelum_4_5_R,-0.40444604,98
98,Cerebelum_6_L,-0.40788907,99
99,Cerebelum_6_R,-0.41062254,100
100,Cerebelum_7b_L,-0.41350514,101
101,Cerebelum_7b_R,-0.41665488,102
102,Cerebelum_8_L,-0.41964284,103
103,Cerebelum_8_R,-0.42267883,104
104,Cerebelum_9_L,-0.4252916,105
105,Cerebelum_9_R,-0.42812693,106
106,Cerebelum_10_L,-0.43095222,107
107,Cerebelum_10_R,-0.43379608,108
108,Vermis_1_2,-0.4372115,109
109,Vermis_3,-0.43974102,110
110,Vermis_4_5,-0.44264165,111
111,Vermis_6,-0.4452801,112
112,Vermis_7,-0.44808123,113
113,Vermis_8,-0.45154426,114
114,Vermis_9,-0.4545645,115
115,Vermis_10,-0.4577366,116
116,ROI_116,-0.46111822,117
117,ROI_117,-0.4638493,118
118,ROI_118,-0.46618912,119
119,ROI_119,-0.4693358,120
120,ROI_120,-0.47226647,121
