X Y Z Importance
-22.583000 79.354000 59.759000 13.360000
17.759000 -92.300000 -43.921000 13.355000
-79.545000 61.094000 36.201000 13.350000
37.453000 -121.554000 102.584000 13.350000
59.840000 -80.135000 -39.272000 13.349000
-56.987000 -60.284000 22.456000 13.341000
-12.250000 -63.095000 38.134000 13.341000
-64.891000 -62.897000 -6.055000 13.340000
-7.907000 43.598000 -36.059000 13.340000
2.562000 1.962000 -63.639000 13.340000
19.358000 -89.167000 -60.291000 13.324000
80.799000 82.577000 73.512000 13.324000
-35.170000 -104.903000 51.162000 13.324000
-10.773000 -99.640000 17.132000 13.323000
-83.810000 70.413000 -25.420000 13.323000
29.254000 -58.670000 21.612000 13.323000
8.408000 -86.071000 102.525000 13.323000
49.524000 76.932000 89.069000 13.323000
17.622000 73.125000 -56.071000 13.323000
-54.723000 -116.231000 -13.441000 13.323000
-20.038000 -67.389000 77.173000 13.323000
-25.784000 -65.318000 25.685000 13.323000
-64.634000 47.275000 -58.581000 13.323000
87.640000 40.805000 -36.231000 13.323000
-89.006000 50.140000 55.234000 13.322000
41.221000 40.594000 -58.672000 13.322000
-25.476000 -100.972000 83.359000 13.322000
22.194000 -54.526000 -60.559000 13.322000
-34.023000 -55.760000 59.329000 13.322000
24.760000 65.638000 12.999000 13.322000
-68.473000 28.061000 64.941000 13.322000
11.030000 40.529000 16.883000 13.322000
4.092000 -33.651000 -67.425000 13.322000
-70.580000 -119.211000 42.554000 13.322000
-33.416000 -16.149000 91.362000 13.322000
-45.127000 -37.357000 63.999000 13.322000
-48.816000 -109.372000 -19.845000 13.322000
-60.980000 74.815000 73.462000 13.322000
24.013000 62.235000 72.661000 13.322000
-56.417000 66.793000 25.082000 13.322000
55.339000 67.556000 -14.759000 13.322000
-70.191000 -76.766000 4.879000 13.322000
57.243000 59.918000 -70.749000 13.322000
1.935000 -35.839000 -32.021000 13.321000
-68.424000 -53.075000 97.724000 13.321000
-31.823000 -13.941000 54.543000 13.321000
-24.547000 83.905000 101.241000 13.321000
-44.679000 -18.594000 -17.842000 13.321000
-38.729000 -118.032000 37.722000 13.321000
0.482000 -114.881000 -21.844000 13.321000
73.488000 -74.255000 -45.919000 13.321000
-1.899000 86.900000 -28.430000 13.321000
30.984000 38.510000 -29.225000 13.321000
41.079000 -46.559000 41.815000 13.321000
24.035000 -10.273000 -55.748000 13.321000
60.354000 -56.712000 -38.427000 13.321000
-82.660000 1.633000 49.962000 13.321000
-87.014000 -15.388000 -31.231000 13.321000
26.131000 -88.337000 52.369000 13.321000
-20.388000 76.334000 -47.246000 13.321000
-28.608000 -101.490000 94.445000 13.321000
67.921000 -70.285000 46.797000 13.321000
57.100000 -6.077000 23.337000 13.321000
-46.467000 -105.890000 89.499000 13.321000
72.075000 10.750000 -10.975000 13.321000
-27.142000 30.806000 89.480000 13.321000
69.676000 42.453000 43.566000 13.321000
-74.855000 -91.088000 89.740000 13.321000
19.157000 -124.013000 -53.735000 13.320000
29.430000 -124.907000 -43.055000 13.320000
8.772000 23.449000 45.353000 13.320000
-49.632000 27.831000 -29.295000 13.320000
-31.428000 35.242000 44.934000 13.320000
62.860000 16.044000 30.296000 13.320000
-73.139000 -46.573000 -24.264000 13.320000
-46.082000 84.170000 -1.242000 13.320000
70.568000 10.326000 71.066000 13.320000
0.475000 -1.389000 16.653000 13.320000
-54.856000 30.050000 -21.461000 13.320000
-85.623000 13.422000 -40.120000 13.320000
79.283000 80.049000 92.676000 13.320000
-23.371000 -122.661000 95.097000 13.320000
-12.927000 82.797000 101.452000 13.320000
63.542000 -62.399000 -2.682000 13.320000
63.205000 -57.545000 -41.491000 13.320000
10.224000 76.209000 53.285000 13.320000
12.611000 -105.010000 38.701000 13.320000
88.210000 -95.742000 21.299000 13.320000
67.927000 34.006000 53.463000 13.320000
36.447000 -48.350000 -19.153000 13.320000
55.685000 48.984000 84.073000 13.320000
74.383000 -15.550000 18.273000 13.320000
53.693000 14.392000 54.354000 13.320000
53.243000 66.241000 -11.161000 13.320000
-22.395000 -105.700000 32.090000 13.320000
-83.530000 -25.431000 25.676000 13.320000
-38.423000 1.620000 -66.510000 13.320000
-83.277000 51.682000 -7.166000 13.320000
-67.129000 -13.195000 66.599000 13.320000
-51.152000 8.544000 -56.637000 13.319000
